ItemName1 萨以特
ItemHelp238 尼梅亚森林内的大怪兽，外形像狮子但是比一般的狮子大两倍；会吐火焰经常吃食人类，后被海克力斯所杀。
ItemInfo238 消费：160点体力
ItemName240 亚奴比斯
ItemHelp240 原本是古埃及一地方的守护神，不过后来确被封为死神，专管葬仪、亡灵的守护神。
ItemName241 米加勒
ItemHelp241 他跟撒旦是双生兄弟；被誉为智慧与勇敢天上第一，斩妖除魔无数。最有名的事迹是曾经与同为天使长的撒旦对决。在希腊被称为太阳神阿波罗，也是伊斯兰教可兰经的指导者。
ItemName242 刑天
ItemHelp242 刑天是上古向黄帝挑战的巨人，被斩首后，仍不服气，在身体生出眼与口，继续向天挑战。后来他的尸首衍生出刑天族。刑天在印度叫做卡邦达，属于恶魔阿斯拉族，与神抗争而死的阿斯拉会变成卡邦达而复活。
ItemName243 龙
ItemName244 奥贝隆
ItemHelp244 统治着所有妖精的妖精王，身躯仅有人类小孩的大小，但其魔力是所有精灵中最强的。
ItemName245 象头神
ItemHelp245 破坏神希瓦之妻从身上的垢生出来的神人，后来与希瓦争执时头被砍下来，之后拿象头替代自己的头而复活。现在是印度的财神爷。
ItemName247 赛库洛普斯
ItemHelp247 希腊神话的独眼巨人，负责帮宙斯制造雷电当武器。
ItemName248 食殇鸟
ItemHelp248 中古世纪贫穷的人在生重病时无钱请医生，便会祈求此鸟来帮家人的病吃掉；一种全身雪白的小金丝雀，吃下病后会在空中飞舞并把病魔转换成空气吐于天空中
ItemName250 妖龙
ItemHelp250 法力高强的魔龙，几乎无所不能也因如此它的缺点就是太自大。
ItemName251 日圣鸟
ItemHelp251 是印度传说的神鸟，在天界大战时发挥了强大的站力。生的鹫头、人身、鹰爪、黄金翼；搭载着太阳日出到日落。在中国称为金乌。
ItemName252 树精
ItemHelp252 常在森林内吓来往各地的人类，长的跟一般的树没什么两样只是有一张恐怖的脸孔；通常都用许多树叶挡住，等到适时在现出吓人。
ItemName253 雪芙
ItemHelp253 一种栖息在冰中的仙灵，以人类女性的姿态出现，能自由自在的乘风飞翔。
ItemInfo253 消费：180点体力
ItemName254 肯塔罗斯
ItemHelp254 希腊传说的怪物，上身为人下身为马的半人兽；个性粗暴好色。
ItemInfo254 消费：140点体力
ItemName255 尼凯
ItemHelp255 即是胜利女神，在天界时被宙斯或雅典那撑在手上；随时的姿态都是展翅欲飞的样子，在出征前如果看到她此战就稳操胜算的。
ItemInfo255 消费：360点体力
ItemName256 戈雷姆
ItemHelp256 法力高强的咒术师将符咒加在一纸上，将其贴在泥土上召唤地底的灵魂附在泥上以供驱使。
ItemName257 希沙
ItemName262 人面树
ItemHelp262 大食帝国境内传说有一棵树上长满了人的脸，而且全部都是笑脸每年会掉下一个脸，当碰到地面时却变成一种果食，传说吃了那果食就会延年益寿。
ItemName263 树妖
ItemHelp263 有千年以上的修为的树精所幻化的，能自由改变形体不过通常还是以树的样子存在。
ItemName264 僵尸
ItemHelp264 在中国的湘南赶尸中最早的形态并不很有规模；所以难免有一些尸群会不小心遗漏了。
ItemName265 僵尸精
ItemHelp265 吸收了百年日月精华的僵尸；拥有些许的法力还能隔空吸人精气，而且白天也能自由行动。
ItemName266 骸骨战士
ItemHelp266 对于战胜的意念太过于执着，导致死后也到处寻找敌人。
ItemName267 冥府狱卒
ItemHelp267 专门巡视躲藏各地尚未至冥府报到的鬼魂，所有游离鬼魂的克星。
ItemInfo267 消费：150点体力
ItemName269 冤魂
ItemHelp269 世界各地都有许多因冤狱而死的人，如果没有得到妥善的超渡就会成了厉鬼到处害人。
ItemInfo269 消费：130点体力
ItemName271 吊死鬼
ItemHelp271 常在子时出现，全身雪白的衣服披头散发；舌头吐的极长模样怪吓人的。
ItemInfo271 消费：138点体力
ItemName272 饿死鬼
ItemHelp272 在国家动荡不安天灾人祸频繁之时，就会有一群的民众士兵饿死；出现时最好给它食物否则难保它会作出什么事。
ItemInfo272 消费：130点体力
ItemName273 瘟鬼
ItemHelp273 因瘟疫而死的人，不满自己的死法所以变成瘟鬼散播病毒。
ItemInfo273 消费：168点体力
ItemName274 夜叉
ItemHelp274 面貌奇丑无比有，专门吃食鬼魂叫声犀利凄惨让人听之丧胆。
ItemInfo274 消费：100点体力
ItemName277 雪女
ItemHelp277 受山神管辖只在一些雪地出现，不过却经常趁山神不注意时跑出去各乡村城镇，与人类玩在一起。
ItemInfo277 消费：188点体力
ItemName281 天宫仙女
ItemHelp281 天庭中地位较高的神都会有一宫庭，而就如人间宫庭内的婢女一样的。
ItemInfo281 消费：190点体力
ItemName282 海龙女
ItemHelp282 海龙王的女儿，在玄奘西行取经时受到龙女不少的帮助。
ItemName283 彩虹仙
ItemHelp283 当太阳神与海龙王起纷争时，彩虹女便会在空中划出一道长长的彩虹阻止他们继续争吵。
ItemName284 玉女
ItemHelp284 居住在华山，以玉浆为食，白天时与天地同体；到了夜间才会现出形体。
ItemName290 妲己
ItemHelp290 殷商纣王之妃，传说是九尾狐妖所幻化而成；喜爱看人间苦难遂蛊惑纣王尽作些祸国忧民之事。
ItemName293 太白金星
ItemHelp293 老态龙钟、仁厚善良，身背一角天书是玉皇大帝的钦派特使。
ItemName294 金童玉女
ItemHelp294 天真无邪的仙童仙女，受所有的天神喜爱。
ItemName295 神使
ItemHelp295 帮玉帝传达神旨的人，当人神旨也包括传于人类。
ItemName296 天兵
ItemHelp296 天庭中的区兵，似人世间的官兵。
ItemName297 地仙
ItemHelp297 在成散仙后如因功行稍差或尘缘未了者，则成地仙每一千三百年须招末劫的惩炼。
ItemName299 门神
ItemHelp299 原是住在大桃山下的两兄弟，把守在鬼界的出入口如遇恶鬼便抓之喂食虎；被后世奉为守护民家的神明。
ItemName300 灶神
ItemHelp300 原始氏族部落解体后，长明火堆也随之分化为每户的灶，遂有火神主的崇拜。
ItemName301 土地神
ItemHelp301 玉帝在凡间将各地分区管理，并派一管理监督之神名约土地。
ItemName302 金钢力士
ItemHelp302 原为法意太子，身形魁梧、武功精湛在皈依佛门后佛陀便封他为金刚力士；作为所有守护金刚的侍卫首领。
ItemName303 山神
ItemHelp303 每一座山皆有一守护神，管理此山的所有生态。
ItemName304 瘟神
ItemHelp304 每固定一时期便有一次的大瘟疫，人们相信是上天派瘟神来惩罚凡间的人类。
ItemName305 洞仙
ItemHelp305 在中国各地有许多人都看破世俗红尘到山中隐居，有一些得道仙人便成为洞仙了。
ItemName306 银神兵
ItemHelp306 同样是天庭的官兵但无论职位、法力都比天兵高。
ItemName307 剑仙
ItemHelp307 当一位剑客把剑术练至御剑而行时，再加上本身的道法修为到一定程度就可成仙了。
ItemName314 化蛇
ItemHelp314 生于伊水，人面豺身，鸟的翅膀，如蛇般的爬行；出现时便叫出似人的咆哮声随即发大水。
ItemName316 妖灯鬼
ItemHelp316 是一种藏于民家的魔怪，身形似灯所以人们较不易发觉；妖灯在趁机袭击。
ItemInfo316 消费：190点体力
ItemName317 迷魂雾妖
ItemHelp317 原是仙人的丹炉的法器，经五百年后有了自身的意识，不过却不幸偏离了正道而遭打落凡间。
ItemInfo317 消费：193点体力
ItemName324 双头蛇
ItemHelp324 是古时传说的怪物，只会出现在山坡附近，两蛇共用一身。
ItemName325 肥遗
ItemHelp325 在太华之山上有一兽，六足四翼登山之人如见之则天下大旱以。
ItemName326 长蛇
ItemHelp326 在北方有一座山叫大咸山成四方的山，山上有一种怪蛇身不长鳞而生猪鬃；声像木头敲击的声音。
ItemName327 土螺
ItemHelp327 状似羊，头有四只角；以人为食物。
ItemName329 天狐
ItemHelp329 道行极高的狐妖，已经可以一身化多人的能力；所以各地都有其分身。
ItemName332 长右
ItemHelp332 形状像是长尾猿，但有四只耳朵叫声像人在呻吟；喜欢兴风作浪的。
ItemName333 兕
ItemHelp333 全身青黑颜色的牛只有一只角，重达千斤的大怪物。
ItemName334 鼎精
ItemHelp334 在一些遭废弃的古庙中，有一些鼎将人民供奉神明的灵气据为己用。
ItemName335 相柳
ItemHelp335 共工之臣，九头一蛇身能同时吃食九座山的食物；所到之处无一不成沼泽和溪谷的。
ItemName338 苍蟒
ItemName362 雷神
ItemName368 斗战圣佛
ItemHelp368 孙悟空护送唐三藏到西天取经回来后，回归天庭，封为斗战圣佛。
ItemInfo368 消费：380点体力
ItemName370 湿婆
ItemName377 死灵骑士
ItemHelp377 遽闻是在某皇家内的一般的骑士团团长，身穿一身黑色的铠甲拥有高超的骑术与枪术。
ItemInfo377 消费：205点体力
ItemName378 斗战圣佛
ItemHelp378 孙悟空护送唐三藏到西天取经回来后，回归天庭，封为斗战圣佛。
ItemName379 斗战圣佛分身
ItemHelp379 孙悟空护送唐三藏到西天取经回来后，回归天庭，封为斗战圣佛。
ItemName380 教众长老
ItemHelp380 黑檀教的法术高手，法力源自于雨丹子赐与，其代价为死后成为鬼也必须听命於雨丹子。
ItemName381 黄八
ItemName382 人尸
ItemHelp382 利用反曼陀罗阵所呼唤出的妖怪，拥有极邪气的法术。
ItemName383 蜃楼石头妖
ItemHelp383 蜃楼王幻化的妖怪，千万别小看了他的外表。
ItemName384 蜃楼财宝怪
ItemHelp384 蜃楼王幻化的妖怪，千万别被它的财宝所吸引，不然会付出相当大的代价的。
ItemName385 响尾蛇
ItemHelp385 常于沙漠出现的横行响尾蛇，速度快而且毒性又强。
ItemName386 大棕熊
ItemHelp386 外型较一般的熊大，会主动攻击别的生物作为食物。
ItemName387 银背金刚
ItemHelp387 只在少数的密林的出没，体型硕大、力大无穷；吼叫时听了都令人生畏。
ItemName388 红鬃猿
ItemHelp388 群居性动物，经常在森林、丛林等地偷袭来往的人类。
ItemName389 奥斯曼
ItemHelp389 大马士革城内的黑衣大食兵，是叶塔的父亲。
ItemName390 鬼爵
ItemHelp390 来自地狱邪恶的使者，外型与吸血鬼类似，但是在魔界中的地位与力量却远远超过吸血鬼。
ItemInfo390 消费：64点体力
ItemName391 鱼身人面妖
ItemHelp391 传说中一种奇特的生物，能于路地上行动也能悠游于水中；喜爱集体行动。
ItemInfo391 消费：53点体力
ItemName392 阎恶灵
ItemHelp392 由数个怨灵组成的强大怨念体，这也造成此念体的强大力量；除非是得道高僧否则很难渡化这些怨念的。
ItemInfo392 消费：58点体力
ItemName393 沙漠绿蝎
ItemHelp393 是一种沙漠特有的毒蝎，速度与体型都较一般的毒蝎来的大；行走沙漠的商人或旅者们最怕也最讨厌碰到它们。
ItemName394 地狱妖猫
ItemHelp394 当一些恶灵附身在其它死去的躯壳上时，就会产生一些变化；被长期的附身后全身成绿色且站立行走模样甚是可怕。
ItemName395 高地骷髅妖
ItemHelp395 在某些高原上的神秘族群，他们会用一些奇异的古魔法唤出这一种特有的骷髅妖，去对付他们的敌人。
ItemName396 弑肉妖
ItemHelp396 原是中国地区的妖怪，后因机缘巧合在欧洲出现，传言经常出没山洞内，喜吃食人肉。
ItemName397 赤尾蝎子
ItemHelp397 主要分布在各温暖地区，要小心它的双螯但赤尾蝎那根毒针不具有麻醉作用，倒是双螯特别的强悍。
ItemName398 加赛因
ItemHelp398 是一种与巫师定下契约的妖精，通常被封于瓶子或戒指之内，在需要时再将其呼唤出，其能力相当广泛，从做家事到杀人皆没问题。达成任务后便又被封回去了。
ItemName399 修道院院长
ItemHelp399 修道院内的高阶修士，比一般的修士或僧侣的修为更加高；通常都担任修道院中重要的职位。
ItemName400 梅罗文加军人
ItemName401 战马
ItemHelp401 曾经受过严格驯练的马，即使失去主人还是能分辨敌我加以攻击。
ItemName402 骆驼
ItemHelp402 行走速度不快，但是因有驼峰能蓄存水份，所以是唯一能穿越沙漠的交通工具。
ItemInfo402 沙漠中的最佳交通工具。
ItemName403 死灵骑士
ItemHelp403 遽闻是在某皇家内的一般的骑士团团长，身穿一身黑色的铠甲拥有高超的骑术与枪术。
ItemName404 黑衣骑兵(骑骆驼)
ItemHelp404 只有在中东地区才有的特殊部队；能长时间作战缺点是速度不怎么快。
ItemName405 白衣骑兵(骑骆驼)
ItemHelp405 只有在中东地区才有的特殊部队；能长时间作战缺点是速度不怎么快。
ItemName406 黑衣骑兵(骑马)
ItemHelp406 怛罗斯之役的兵种。
ItemName407 教士
ItemHelp407 教堂内的低层下属，有着些许的法力。
ItemName408 武僧
ItemHelp408 身强体壮的修士，身手都有两下子一般都在看守牢房。
ItemName409 梅罗文加军人
ItemHelp409 身着正统的梅罗文加军铠，大多数的军人都仗势欺压百姓；因为他们通常都结队出巡。
ItemName410 威尼斯水军
ItemName411 黑衣大食兵
ItemHelp411 阿拉伯帝国（伊斯兰）的阿拔斯家族士兵。
ItemName412 白衣大食兵
ItemHelp412 阿拉伯帝国（伊斯兰）的欧马亚王朝士兵。
ItemName413 盗贼
ItemName414 威尼斯护民官
ItemName415 唐军骑兵
ItemName416 唐军步卒
ItemName417 盗贼
ItemName418 盗贼
ItemName419 盗贼
ItemName420 商人
ItemName421 商人
ItemName422 商人
ItemName423 保镳
ItemName424 侠客
ItemName425 平民(男)
ItemName426 平民(男)
ItemName427 平民(女)
ItemName428 平民(男)
ItemName429 平民(女)
ItemName430 平民(男孩)
ItemName431 平民(女孩)
ItemName432 平民(老人)
ItemName433 道士
ItemName434 宝丽刚怪物
ItemHelp434 是３Ｄ制图员呕心泣血绘制的３Ｄ模型，遭无情的淘汰时，含怨幻化而成的怪物。
ItemName435 豹Ⅱ坦克
ItemHelp435 德国战车，机动力与性能一流。
ItemName436 超合金铁魔神
ItemHelp436 五千万马力！防核爆的抵抗力！传说中的正义守护神……这个玩具的盒子上有这么写……。
ItemName437 都市自卫民宅
ItemHelp437 阿猫阿狗武装样品屋的量产品，功能稍有简化，破坏性有加强，这次小孩子绝对不是他的对手。
ItemName438 蔡魔王
ItemHelp438 DOMO小组的头头，拥有无限的邪恶能量，轩辕剑参所有的怪物加起来都不是他的对手，拥有毁DOMO灭轩辕剑的力量
ItemName439 鲍弘修
ItemName440 张孝全
ItemName441 陈盈君
ItemName442 郭炳宏
ItemName443 王福生
ItemName444 杨渊升
ItemName445 杨进财
ItemName446 林克敏
ItemName447 罗国成
ItemName448 黑衣弓箭手
ItemName449 吴欣叡
ItemName450 黄志荣
ItemName451 吴东兴
ItemName452 高玉玫
ItemName453 朱荣敏
ItemName454 简明哲
ItemName455 刘馨韩
ItemName456 乐乐
ItemName457 真梦
ItemName458 大米
ItemName501 阔剑
ItemHelp501 身长近似短剑，身幅却只有３公分重量达１．６公斤为骑士专用剑．　早期阔剑也代表一定官阶才能拥有的剑．到了１５世纪初却被佣兵广为使用。
ItemInfo501 攻击力 +10点
ItemName502 长剑
ItemHelp502 全长超过１．８公尺称之，需用两手才能使用流利，其最主要是训练腕力、集中力、敏捷性，攻击着重长距离的刺突攻击。
ItemInfo502 攻击力 +18点
ItemName503 羽翼剑
ItemHelp503 轻、细、锋利是此剑的特性，原为欧洲宫廷舞剑、比赛专用；后来成为轻武装的基本配备，士兵间常说左刀右剑其中的右剑就是羽翼剑。
ItemInfo503 攻击力 +25点
ItemName504 火焰剑
ItemHelp504 顾名思义，此剑就像烛台上火焰般的剑身和剑柄；攻击力其大无比命中时皮湛肉开甚为恐怖；加上剑本身宽、轻、长所以也有些许的防御效果；虔诚的基督徒是禁止使用的。
ItemInfo504 攻击力 +35点
ItemName505 断梗
ItemHelp505 少数古剑之一，剑柄用象牙作成、剑身由纯银打造，攻击防御兼备的中程剑；挥舞时会产生气流压缩的奇特景观。
ItemInfo505 攻击力 +128点
ItemName506 赤螫
ItemHelp506 古剑之一，构造复杂奇异是其特性；柄用的是一神话怪物的角所制成，剑身材质乃用帕魔钢(合金)；它有铁的3倍硬度确只有它的1/3重，而且本身据有一种神秘力量。
ItemInfo506 攻击力 +62点
ItemName507 陇金玉剑
ItemHelp507 西域出产的石玉既可观看也可以当做攻击用；重量轻是它在攻击时的优势。
ItemInfo507 攻击力 +68点
ItemName508 月牙剑
ItemHelp508 剑身雪亮轻薄，被攻击到所留下的伤痕呈一新月型故命名之。
ItemInfo508 攻击力 +50点
ItemName509 雪浪剑
ItemHelp509 剑一出鞘就散发出一阵阵的寒气，挥舞划过的空气都会结成一团团的霜气；和一把名为仑凰的奇剑相克。
ItemInfo509 攻击力 +75点
ItemName510 仑凰剑
ItemHelp510 要有相当内力的人才能挥动自如否则光想拿起它就都很困难了；因为没一定内力的人是无法承受它所散发出的热力；和一把名为雪浪的奇剑相克。
ItemInfo510 攻击力 +78点
ItemName511 湛卢
ItemHelp511 春秋时期铸剑名匠欧冶子所铸名剑之一，全剑为黑色但却透出异样的青色光芒，剑本身也厚且重没一定力量是无法很流利的挥使。
ItemInfo511 攻击力 +100点
ItemName512 纯钧
ItemHelp512 春秋时期铸剑名匠欧冶子所铸名剑之二，剑刃上刻有奇特的花纹，整只剑豪光晶莹、闪亮如星却有削铁破石之力。
ItemInfo512 攻击力 +193点
ItemName513 胜邪
ItemHelp513 春秋时期铸剑名匠欧冶子所铸名剑之三，剑透露出琉璃宝光与浩然正气，造此剑即希望去邪斩魔使国家恢复正纲。
ItemInfo513 攻击力 +160点
ItemName514 鱼肠
ItemHelp514 春秋时期铸剑名匠欧冶子所铸名剑之四，较其他四只剑厚短但因剑身布有的花纹蟠曲似鱼肠故命名之。
ItemInfo514 攻击力 +85点
ItemName515 巨阙
ItemHelp515 春秋时期铸剑名匠欧冶子所铸名剑之五，阙者；帝之居所也。此剑乃五剑中最长最重者，但最重者也不过一般铁剑的一半而已，因阙也是空虚之意。
ItemInfo515 攻击力 +230点
ItemName516 干将
ItemHelp516 在欧冶子死后干将独力要完成这一把最好的剑，无奈炉温总是未达标准；其妻见状飞身进炉遂使炉温上升进而将原铁汁分别锻炼出雄剑─干将、雌剑─莫邪。
ItemInfo516 攻击力 +178点
ItemName517 莫邪
ItemHelp517 在欧冶子死后干将独力要完成这一把最好的剑，无奈炉温总是未达标准；其妻见状飞身进炉遂使炉温上升进而将原铁汁分别锻炼出雄剑─干将、雌剑─莫邪。
ItemInfo517 攻击力 +120点
ItemName518 龙泉
ItemHelp518 原名龙渊是欧冶子和干将合力制造的三把剑中的其中之一；后因传至唐朝时，忌与高祖李渊之名同等，便将〝渊″改为〝泉″。
ItemInfo518 攻击力 +250点
ItemName519 泰阿
ItemHelp519 欧冶子和干将合力制造的三把剑中的其中之一；当你望着此剑的剑刃时你会觉得好像在看一座山，其势之雄大便可想而知了。
ItemInfo519 攻击力 +240点
ItemName520 工布
ItemHelp520 欧冶子和干将合力制造的三把剑中的其中之一；此剑细长、驶之如水、攻则连珠，是一能使平民变高手的好剑。
ItemInfo520 攻击力 +233点
ItemName521 短木弓
ItemHelp521 一般人民用的弓，也是女主角早期的武器；攻击力普通。
ItemInfo521 攻击力 +18点
ItemName522 十字弓
ItemHelp522 比较小的弓威力与准确都比一般的弓好；但价格和连射的速度就不是那么理想了。
ItemInfo522 攻击力 +24点
ItemName523 猎弓
ItemHelp523 强轫度比较好，且经过猎人的改良所以威力比较大；也大都用来打猎。
ItemInfo523 攻击力 +30点
ItemName524 雷神弓
ItemHelp524 拥有雷廷万均之威力，其中还带有些许雷电的效应；据说是因为弓柄处是用特殊的磁石作成的。
ItemInfo524 攻击力 +33点
ItemName525 火炎神弩
ItemHelp525 古高昌帝国的传说神器，为一全身为火的弓；最后的消息是由一位商人收藏着。
ItemInfo525 攻击力 +60点
ItemName526 华莲七彩弓
ItemHelp526 刻有莲花的七色彩弓，有不错的攻击能力但真正的力量好像未被发现。
ItemInfo526 攻击力 +40点
ItemName527 大食诫弓
ItemHelp527 大食帝国黑教的执法兵器，他们相信一些特别制做的弓再加上密法后；便拥有惩戒人类的魔力。
ItemInfo527 攻击力 +35点
ItemName528 乌纹弓
ItemHelp528 全长1尺，攻击时射出的箭便如蛇行般的射向敌人；全身漆黑，花纹似云故称之。
ItemInfo528 攻击力 +33点
ItemName529 铁胎弓
ItemHelp529 三国时期的名将─黄忠所属的兵器；不过是不是真品就不知了，但是弓弦的确很难拉的开。
ItemInfo529 攻击力 +72点
ItemName530 天燎
ItemHelp530 古神器之一，由一位年过百的工匠寿终正寝前所研制的神器；一种亦箭亦弓的兵器其势可削风破水与地涌为一对。
ItemInfo530 攻击力 +180
ItemName531 地涌
ItemHelp531 古神器之一，由一位年过百的工匠寿终正寝前所研制的神器；一种亦铠亦弓的兵器材质非常特殊软如绵、硬如铁，可攻可守的兵器与天燎为一对。
ItemInfo531 攻击力 +150
ItemName532 阎魔弓
ItemHelp532 来自地狱工匠所打造的阴寒奇弓，攻击力很大但是非魔界的人是无法看见此弓的。
ItemInfo532 攻击力 +45点
ItemName533 绝情猫袖箭
ItemHelp533 DOMO小组内的小猫咪随身武器；据说是用来偷射菜鸟的，不过有时神智不清连老鸟也会被射到。
ItemInfo533 攻击力 +70点
ItemName534 神臂弓
ItemHelp534 一个套在手掌的神奇小弓，它会将全身的精气集中在弓上；再射出许多的气箭，一经熟练之后可是能百发百中的。
ItemInfo534 攻击力 +90点
ItemName535 意弦弓
ItemHelp535 在弓弦上装上一个小皮革，如此便可随时都能发射攻击物了；不须要非弓箭不可。
ItemInfo535 攻击力 +128点
ItemName536 万钧神弩
ItemHelp536 一种超越当代技术的神箭，由一只母箭射出后会分出许多的小箭攻击敌人；是中国军队开发的兵器。
ItemInfo536 攻击力 +200点
ItemName537 弯刀
ItemHelp537 刀身为新月型，构想源于割果实的小刀，是北方部落常用的刀，又刀细长弯曲故也称蛇剑。
ItemInfo537 攻击力 +20点
ItemName538 弧月刀
ItemHelp538 刀柄末端刻着狮头，刀身由铸剑师与牧师施予祝福，所以并无量贩于一般商店中。
ItemInfo538 攻击力 +38点
ItemName539 刃风刀
ItemHelp539 刀的材料是由西欧地区才产的魔幻钢作成，可斩一切虚无的妖物，刀柄刻有鹫头；为某一族的族长传刀，至于为何会在中东出现尚无人了解。
ItemInfo539 攻击力 +48点
ItemName540 鬼眼法刀
ItemHelp540 在刀柄末端有一奇异的眼睛，当它认定持有者时便会张开；于战斗中帮操控者作出最佳的攻击与防御。
ItemInfo540 攻击力 +78点
ItemName541 麟火吞月刀
ItemHelp541 来历不明的武器，所有的功用也不知道；除了有刀型外很难想像这是武器。
ItemInfo541 攻击力 +170点
ItemName542 无瑕双刀
ItemHelp542 在神话中由一对姊妹所持，两只不同的刀但刀身与刀柄一体成型没有分开制作；刀全长不过50公分，重也才500公克所以女孩相当适用。
ItemInfo542 攻击力 +138点
ItemName543 太皇刀─绿痕
ItemHelp543 高昌古国的四圣刀之一，自从被唐朝灭国后这四把圣刀就流落各地了；据说集成这四把剑可发现一个惊人的秘密。
ItemInfo543 攻击力 +93点
ItemName544 太皇刀─蓝牙
ItemHelp544 高昌古国的四圣刀之一，自从被唐朝灭国后这四把圣刀就流落各地了；据说集成这四把剑可发现一个惊人的秘密。
ItemInfo544 攻击力 +65点
ItemName545 太皇刀─阎天
ItemHelp545 高昌古国的四圣刀之一，自从被唐朝灭国后这四把圣刀就流落各地了；据说集成这四把剑可发现一个惊人的秘密。
ItemInfo545 攻击力 +85点
ItemName546 太皇刀─红叶
ItemHelp546 高昌古国的四圣刀之一，自从被唐朝灭国后这四把圣刀就流落各地了；据说集成这四把剑可发现一个惊人的秘密。
ItemInfo546 攻击力 +120点
ItemName547 轩辕菜刀
ItemHelp547 传说是轩辕黄帝亲自下厨所用的刀，不过有些学者认为黄帝可能讨伐蚩尤时也用同一个武器，那轩辕剑可能就是不存在的。
ItemInfo547 攻击力 +102点
ItemName548 蝴蝶刀
ItemHelp548 轻薄短小的双手刀，是一般江湖人士常用的防身武器。
ItemInfo548 攻击力 +62点
ItemName549 柳叶刀
ItemHelp549 柳叶型的软刀，因刀身材质的关系所以能让使用者变化出更多招式来。
ItemInfo549 攻击力 +53点
ItemName550 鸳鸯刀
ItemHelp550 一长一短、一厚一薄，重量相差也极大但也因此互相祢补缺点；不过对刀法相当纯熟的人才有办法挥舞的流畅。
ItemInfo550 攻击力 +82点
ItemName551 冰珀刀
ItemHelp551 观赏冰珀刀，可以看出一支梅枝被包在冰冻的刀身中，像是个艺术品，但被冰珀刀伤到后，血液都会结冰。为密教中用来降妖除魔的法器，拥有感应持有者的法力并加以数倍之力发出，让妖魔形神俱灭。
ItemName552 金刚降魔杵
ItemName553 四极皇霸刀
ItemHelp553 当绿痕、蓝牙、阎天、红叶四刀在月圆之夜聚集；历经三个时辰将吸收月之精华，进而结合成一只有灭天破地之势的刀。
ItemInfo553 攻击力 +215点
ItemName554 齐眉棍
ItemHelp554 最常用的棍类，长度由地面到正常人的眉毛这么高；故命名之。
ItemInfo554 攻击力 +70点
ItemName555 八卦棍
ItemHelp555 棍身非以圆棒状作成的，而是以八卦的型状作成；材料更是用一种奇树制作的。(为一半软一半硬)
ItemInfo555 攻击力 +84点
ItemName556 如意金箍棒
ItemHelp556 传说中的仙器，本为为东海龙王的镇海之物；后被美猴王孙悟空带走作为贴身武器。
ItemInfo556 攻击力 +200点
ItemName557 蒺藜枪
ItemHelp557 枪头有着小凸刺，能使刺中的部位皮开肉绽的，攻城常用。
ItemInfo557 攻击力 +98点
ItemName558 钩镰枪
ItemHelp558 在枪刃中间作一镰刀，运用的好可轻易的夺取对手的武器；在民间还为此枪组一防卫金枪队。
ItemInfo558 攻击力 +120点
ItemName559 方天戟
ItemHelp559 戟，古之仪兵，取象龙翔于天；为一长枪身附月牙刀，称为画戟而双面则为方天戟又称青龙戟。
ItemInfo559 攻击力 +183点
ItemName560 太宁笔枪
ItemHelp560 枪刃底端镶有许多亮丽的软毛，在刺的同时像一只毛笔般；故称笔枪。
ItemInfo560 攻击力 +162点
ItemName561 蛇矛
ItemHelp561 三国猛将张飞所持之武器，枪头长过七寸谓之矛；又状似蛇故称之。
ItemName562 憾天神枪
ItemHelp562 全身金银的铁枪，虽是铁枪但重量却连三岁小孩也拿的动；而且注重的是意念只要你想要一物毁灭此枪会壮大这意念让你的力量完全的发挥出来。
ItemInfo562 攻击力 +248点
ItemName563 皇家骑士枪
ItemHelp563 专门设计给皇宫内的骑士团用，所以外型与攻击力都要有不错的程度。
ItemInfo563 西方骑士专用的枪
ItemName564 飞斧
ItemHelp564 古罗马帝国中一部族所用的投射兵器；飞翔速度极快，攻击距离约15公尺左右不过准度却不怎么好控制。
ItemInfo564 用于战斗中投射敌人，造成伤害。
ItemName565 飞去来器
ItemHelp565 古时人民作为狩猎用，类似东方的回力标，只有在特殊状况下人们才会当战斗用；熟练的人使用可以说是一种用不完的飞镖。
ItemInfo565 用于战斗中投射敌人，造成伤害。
ItemName566 流云针
ItemHelp566 外型细小的雪白的小针，由于颜色的关系所以白天命中的机率会比夜晚来的高。
ItemInfo566 用于战斗中投射敌人，造成伤害。
ItemName567 轮刃
ItemHelp567 像轮子内成一米字外围有利刃的小型暗器；这种暗器对于目标小的点可以准确的命中。
ItemInfo567 用于战斗中投射敌人，造成伤害。
ItemName568 翔羽叶
ItemHelp568 取一奇树的叶子加以修饰，并作为可方便收藏的暗器。
ItemInfo568 用于战斗中投射敌人，造成伤害。
ItemName569 旋流刺
ItemHelp569 如一旋涡般的形状，在其周围附上利刃；再运用使用者强大的力量，功力高的人可以穿透三吋的铁板。
ItemInfo569 用于战斗中投射敌人，造成伤害。
ItemName570 飞蝗石
ItemHelp570 精选过的小石子，再经过加工后便成为颇有杀伤力的暗器了。
ItemInfo570 用于战斗中投射敌人，造成伤害。
ItemName571 日月乾坤圈
ItemHelp571 一直径约30公分的钢圈，并在外围作一似枪的尖锐利器；有大小钢圈同时在一起可增加使用时的便利性。
ItemInfo571 用于战斗中投射敌人，造成伤害。
ItemName572 飞爪
ItemHelp572 依动物爪子的形体所制造的，而且还加上绳子增加攻击距离与准确度。
ItemInfo572 用于战斗中投射敌人，造成伤害。
ItemName573 子母鸳鸯钺
